ID,age,sex,region,income,married
1,48,FEMALE,INNER_CITY,17546,NO
2,40,MALE,TOWN,30085.1,YES
3,51,FEMALE,INNER_CITY,16575.4,YES
4,23,FEMALE,TOWN,20375.4,YES
5,57,FEMALE,RURAL,50576.3,YES
6,57,FEMALE,TOWN,37869.6,YES
7,22,,RURAL,,NO
8,58,MALE,TOWN,24946.6,YES
9,37,FEMALE,SUBURBAN,25304.3,YES
10,200,MALE,TOWN,24212.1,YES
11,66,FEMALE,TOWN,59803.9,YES
12,52,FEMALE,INNER_CITY,26658.8,NO
13,44,FEMALE,TOWN,,YES
14,66,,TOWN,55204.7,YES
15,36,MALE,RURAL,19474.6,YES
16,38,FEMALE,INNER_CITY,22342.1,YES
17,37,,TOWN,17729.8,YES
18,46,FEMALE,SUBURBAN,41016,YES
19,62,FEMALE,INNER_CITY,26909.2,YES
20,31,MALE,TOWN,22522.8,YES
21,61,MALE,INNER_CITY,57880.7,YES
22,50,MALE,TOWN,16497.3,YES
23,54,MALE,INNER_CITY,38446.6,YES
24,27,FEMALE,TOWN,15538.8,NO
25,22,MALE,INNER_CITY,12640.3,NO
26,56,MALE,INNER_CITY,41034,YES
27,45,MALE,INNER_CITY,20809.7,YES
28,39,FEMALE,TOWN,20114,YES
29,39,FEMALE,INNER_CITY,29359.1,NO
30,61,MALE,RURAL,24270.1,YES
31,61,FEMALE,RURAL,22942.9,YES
32,20,FEMALE,TOWN,16325.8,YES
33,45,MALE,SUBURBAN,23443.2,YES
34,33,FEMALE,INNER_CITY,29921.3,NO
35,43,MALE,SUBURBAN,37521.9,NO
36,27,FEMALE,INNER_CITY,19868,YES
37,19,MALE,RURAL,10953,YES
38,36,FEMALE,RURAL,13381,NO
39,43,FEMALE,TOWN,18504.3,YES
40,66,FEMALE,SUBURBAN,25391.5,NO
41,55,MALE,TOWN,26774.2,YES
42,47,FEMALE,INNER_CITY,26952.6,YES
43,67,MALE,TOWN,55716.5,NO
44,32,FEMALE,TOWN,27571.5,YES
45,20,MALE,INNER_CITY,13740,NO
46,64,MALE,INNER_CITY,52670.6,YES
47,50,FEMALE,INNER_CITY,13283.9,NO
48,29,MALE,INNER_CITY,13106.6,NO
49,52,MALE,INNER_CITY,39547.8,NO
50,47,FEMALE,RURAL,17867.3,YES
51,24,MALE,TOWN,14309.7,NO
52,36,MALE,TOWN,23894.8,YES
53,43,MALE,TOWN,16259.7,YES
54,48,MALE,SUBURBAN,29794.1,NO
55,63,MALE,TOWN,56842.5,YES
56,52,FEMALE,RURAL,47835.8,NO
57,58,FEMALE,INNER_CITY,24977.5,NO
58,28,MALE,INNER_CITY,23124.9,YES
59,29,FEMALE,INNER_CITY,15143.8,YES
60,34,MALE,INNER_CITY,25334.3,NO
61,42,FEMALE,INNER_CITY,24763.3,YES
62,65,FEMALE,INNER_CITY,36589,NO
63,47,MALE,INNER_CITY,27022.6,YES
64,20,MALE,INNER_CITY,11700.4,YES
65,21,MALE,TOWN,5014.21,NO
66,42,MALE,INNER_CITY,17390.1,YES
67,19,MALE,TOWN,10861,NO
68,41,FEMALE,TOWN,34892.9,NO
69,30,MALE,TOWN,19403.1,NO
70,31,FEMALE,RURAL,10441.9,YES
71,25,MALE,INNER_CITY,14064.9,YES
72,21,MALE,INNER_CITY,8062.73,NO
73,36,MALE,INNER_CITY,31982,YES
74,58,FEMALE,INNER_CITY,23197.5,YES
75,64,FEMALE,INNER_CITY,52674,NO
76,59,FEMALE,RURAL,35610.5,NO
77,45,FEMALE,TOWN,26948,NO
78,61,MALE,INNER_CITY,49456.7,YES
79,30,FEMALE,INNER_CITY,14724.5,YES
80,58,FEMALE,TOWN,34524.9,YES
81,50,FEMALE,TOWN,22052.1,NO
82,30,MALE,INNER_CITY,27808.1,NO
83,29,FEMALE,INNER_CITY,12591.4,YES
84,35,MALE,INNER_CITY,16394.4,YES
85,62,MALE,INNER_CITY,24026.1,YES
86,36,MALE,INNER_CITY,31683.1,YES
87,25,FEMALE,INNER_CITY,15525,YES
88,66,FEMALE,TOWN,22562.2,NO
89,30,MALE,SUBURBAN,15848.7,YES
90,54,FEMALE,INNER_CITY,31095.6,YES
91,37,MALE,TOWN,24814.5,YES
