ID,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
1,19,NU,INNER_CITY,8162.42,YES,1,YES,YES,YES,YES,NO
2,37,NU,TOWN,15349.6,YES,0,NO,YES,NO,NO,NO
3,45,NU,TOWN,29231.4,YES,0,NO,YES,NO,NO,NO
4,49,NAM,RURAL,41462.3,YES,3,NO,YES,YES,YES,NO
5,67,NU,RURAL,57398.1,NO,3,NO,YES,YES,NO,YES
6,35,NU,RURAL,11520.8,YES,0,NO,NO,YES,NO,NO
7,63,NAM,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,YES
8,38,NAM,RURAL,26281.4,NO,0,YES,YES,YES,NO,YES
9,48,NAM,TOWN,25683.4,NO,2,YES,YES,YES,NO,NO
10,28,NU,INNER_CITY,11920.7,NO,1,NO,YES,YES,NO,NO
11,46,NAM,TOWN,30658.7,YES,0,NO,YES,YES,NO,NO
12,66,NAM,INNER_CITY,36646.4,NO,1,NO,YES,YES,NO,YES
13,61,NU,TOWN,30760.4,NO,2,YES,NO,YES,NO,YES
14,18,NU,RURAL,16109.9,NO,2,YES,YES,YES,NO,NO
15,54,NU,TOWN,18036.7,YES,0,YES,YES,NO,NO,NO
16,45,NAM,RURAL,42628.3,NO,0,YES,YES,YES,YES,NO
17,60,NAM,INNER_CITY,22110.1,NO,2,YES,YES,YES,NO,NO
18,45,NU,TOWN,37689.1,NO,1,NO,YES,YES,YES,YES
19,31,NU,INNER_CITY,23171.8,NO,2,NO,YES,NO,NO,NO
20,39,NAM,SUBURBAN,21951.3,NO,0,YES,YES,YES,YES,NO
21,53,NAM,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,YES
22,35,NAM,RURAL,22882.9,YES,0,YES,NO,NO,YES,YES
23,25,NU,TOWN,11043.7,YES,1,YES,YES,NO,YES,NO
24,32,NAM,TOWN,24027.6,NO,0,NO,YES,YES,NO,YES
25,36,NAM,SUBURBAN,28495.1,YES,0,NO,YES,YES,NO,NO
26,24,NU,TOWN,9465.21,NO,0,NO,NO,YES,NO,YES
27,39,NAM,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,YES
28,24,NAM,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,YES
